author,text,likes,published_at,clean_comment
@Zavier-i8u,Nanjis gw bang2x,1,2025-07-09T11:05:57Z,nanjis gw bang2x
@L1feMac,suka sama anime si lumayan normal tapi ini🗿,0,2025-07-09T10:52:48Z,suka sama anime si lumayan normal tapi ini
@netzxi,GAK JIR GW AJ GK SUKA AMA KARAKTER KOTAK²🗿🙏,0,2025-07-09T10:25:57Z,gak jir gw aj gk suka ama karakter kotak
@ragilsaputrosutaryono5463,Mending ava bacon aying 🗿👍🏻 gratis,0,2025-07-09T09:49:08Z,mending ava bacon aying gratis
@sida-vega,"MENURUT KU NORMAL SIH, MASA CUMA KARNA AVATAR JADI GAK BOLEH MAIN ROBLOX GITUH",1,2025-07-09T07:44:20Z,menurut ku normal sih masa cuma karna avatar jadi gak boleh main roblox gituh
@UklikElek,😭😹 juga dapat menyerap air mata,0,2025-07-09T07:37:01Z,juga dapat menyerap air mata
@JamalMansur-c1m,Dari pada pada gituan mendingan admin zioles yang irengggggg😂😂😂,1,2025-07-09T06:36:44Z,dari pada pada gituan mendingan admin zioles yang irengggggg
@dhirzz1,Tiba² klarifikasi😹,0,2025-07-09T06:26:56Z,tiba klarifikasi
@Nabilsyafiqafik,Festis mereka sneh bgt suka avatar roblox 🗿,0,2025-07-09T06:18:44Z,festis mereka sneh bgt suka avatar roblox
@GD_RIF_MEGALODON_FISH,Biase aj 🗿,0,2025-07-09T05:47:29Z,biase aj
@taufiqlegen88,Ah normal ini mah,0,2025-07-09T03:49:10Z,ah normal ini mah
@Broo-p5s,Ga wajar bang kalo suka sama balok,0,2025-07-09T03:18:05Z,ga wajar bang kalo suka sama balok
@Harris12390,Owalah kak alin🗿,0,2025-07-09T02:04:02Z,owalah kak alin
@bargojengkol1211,Seters,0,2025-07-09T01:33:50Z,seters
@TILBOWAW,Mending ama roblox bang dari pada real life😂,0,2025-07-09T01:02:28Z,mending ama roblox bang dari pada real life
@roblox70-h5e,Itu akun si cewek itu ada di YouTube atau di TikTok mau di laporin,0,2025-07-08T21:49:19Z,itu akun si cewek itu ada di youtube atau di tiktok mau di laporin
@williamrm5951,mending sange sama anime dri pada sange sama roblox kotak kotak yah mirip mirip mincraft kotak kotak,0,2025-07-08T19:07:43Z,mending sange sama anime dri pada sange sama roblox kotak kotak yah mirip mirip mincraft kotak kotak
@dirgantarazonano,akudah biasa sama ini,0,2025-07-08T18:20:47Z,akudah biasa sama ini
@al_ess,Sumpah gua capek lihat ginian pensiun gua Roblox nanti,0,2025-07-08T17:52:02Z,sumpah gua capek lihat ginian pensiun gua roblox nanti
@Sanrio921,gw yang main jailbreak doang belike💀,0,2025-07-08T16:30:59Z,gw yang main jailbreak doang belike
@Warhawkk,"Heran gw ma orang yg ampe birahi.
Kalo gw liat emang lucu canti. Tapi gk ampe Birahi juga. Itu dah gk waras/kebanyakan nonton anime, wibu nolep",0,2025-07-08T15:49:45Z,heran gw ma orang yg ampe birahi kalo gw liat emang lucu canti tapi gk ampe birahi juga itu dah gk waras kebanyakan nonton anime wibu nolep
@Hatcher4,Oji Wahyudi Ingin Savage dengan block minecraft bruh😂😂😂,0,2025-07-08T15:11:43Z,oji wahyudi ingin savage dengan block minecraft bruh
@sah4t,"Lebih bahaya minecraft sih rasa ku 😅
Ytta lah.",1,2025-07-08T14:54:35Z,lebih bahaya minecraft sih rasa ku ytta lah
@dark_hunter1118,Gw tertarik gara gara 1 game yaitu blox fruit dan itu yg membuat ku bermain roblox 🗿,0,2025-07-08T08:02:16Z,gw tertarik gara gara 1 game yaitu blox fruit dan itu yg membuat ku bermain roblox
@KAWAKUJO,Uzai,0,2025-07-08T05:16:32Z,uzai
@YanzreSCRN907,BROOO PLIS STOP LAH GW CMN MO MAEN HAVE FUN AJA KNP HRUS DI BAHAS YG GINI TRUSS JIR CREATOR NYA JG UDH KLARIFIKASI 😭😭😭,2,2025-07-08T03:10:45Z,brooo plis stop lah gw cmn mo maen have fun aja knp hrus di bahas yg gini truss jir creator nya jg udh klarifikasi
@AFRIANZA_0,benda itu kotak 😂😂😂,0,2025-07-08T01:55:58Z,benda itu kotak
@GantaBogeng,Iya bg si alin otak nya udah kayak dontoll,1,2025-07-08T00:44:20Z,iya bg si alin otak nya udah kayak dontoll
@YANTOKECE8,TAK NORMAL SEJAK KAPAN ADA ORANG BIRAHI SAMA KOTAK,0,2025-07-08T00:10:11Z,tak normal sejak kapan ada orang birahi sama kotak
@Kay_Fox99,Bawa santai saja 🙃👍,0,2025-07-07T18:27:28Z,bawa santai saja
@m.jabbarazhar1529,hadeh veteran roblox sejak 2020 liat ini kecewa sih,0,2025-07-07T14:03:45Z,hadeh veteran roblox sejak 2020 liat ini kecewa sih
@Jackie-h9y,"Sebelah cuk malah bilang lebih sehat suka anime padahal, sama sama ga sehat yang satu suka balok yang satu lagi suka halusinasi 😂😂",0,2025-07-07T13:36:02Z,sebelah cuk malah bilang lebih sehat suka anime padahal sama sama ga sehat yang satu suka balok yang satu lagi suka halusinasi
@bikomang,Biar gaada org dongo gini kek alin,0,2025-07-07T13:13:33Z,biar gaada org dongo gini kek alin
@bikomang,Di rblx yg dlu aj dah,0,2025-07-07T13:13:15Z,di rblx yg dlu aj dah
@TandoTando-y6g,Apakah kamu suka Avatar Roblox ya kamu stres bro stres 😂😂😂😂,0,2025-07-07T12:36:57Z,apakah kamu suka avatar roblox ya kamu stres bro stres
@galih29-n7u,Aku di brookhaven barak militer 💀,0,2025-07-07T12:19:27Z,aku di brookhaven barak militer
@BngKolil,Birahi ama balok,0,2025-07-07T11:19:03Z,birahi ama balok
@Ahdanahtar-q2h,Gua mah dari pak GM,0,2025-07-07T10:13:34Z,gua mah dari pak gm
@Tiramisu.Latte2509,Gua yg main roblox liat beginian jadi ga main roblox lg🗿,1,2025-07-07T06:59:27Z,gua yg main roblox liat beginian jadi ga main roblox lg
@Adrian-y5s9t,"Sendang Lanang yang main forsaken:
Pilih killer apaan ya",1,2025-07-07T06:53:30Z,sendang lanang yang main forsaken pilih killer apaan ya
@habiebieaufadzaki2353,Pasti yang nonton fokus karena tob***🗿💀,0,2025-07-07T04:35:10Z,pasti yang nonton fokus karena tob
@VILAIN_upin,gua pwngen ketemu orang ya biar minta robux😂😂😂😂😂,0,2025-07-07T03:49:02Z,gua pwngen ketemu orang ya biar minta robux
@ASEP-0804,Oji Wahyudi : Aku c**tt,1,2025-07-07T03:21:59Z,oji wahyudi aku c tt
@BlueXel-l3b,"avatar itu mungkin bagus, keren, cantik, tapi kalo anda birahi malah ngajak temen, lu kek donto-",1,2025-07-07T02:14:36Z,avatar itu mungkin bagus keren cantik tapi kalo anda birahi malah ngajak temen lu kek donto
@SantoruGaming,Org waras mana yg birahi sama karakter kotak kotak😂😂,0,2025-07-07T01:46:43Z,org waras mana yg birahi sama karakter kotak kotak
@drakeano,Si valen iseng buat malah jadi trend anjir awoakwok,0,2025-07-07T00:19:54Z,si valen iseng buat malah jadi trend anjir awoakwok
@NauraKhairunnisaRamadani,plis gw nyesel deh pake badan body blush😭😞,0,2025-07-07T00:14:50Z,plis gw nyesel deh pake badan body blush
@AzrilAzril-o2f,dari pada pantengin vidio tuh mendingan gw nonton tutorial cara bernafas,1,2025-07-06T19:24:21Z,dari pada pantengin vidio tuh mendingan gw nonton tutorial cara bernafas
@S3PT14N,Aman bg b wae gw,0,2025-07-06T17:21:04Z,aman bg b wae gw
@EL-EDITZ-9999,Birahi Ama kotak 😂😂,0,2025-07-06T16:45:22Z,birahi ama kotak
@maskplay123,"Bingung gw, ini generasi bukannya semakin maju malah semakin gilaa, aneh udah",1,2025-07-06T15:25:28Z,bingung gw ini generasi bukannya semakin maju malah semakin gilaa aneh udah
@eppilestari3666,Gw tau roblox dari teman,0,2025-07-06T11:32:40Z,gw tau roblox dari teman
@Zero_Grafity,game roblox ramai karena grow a garden sama trend itu doang 😂,2,2025-07-06T11:10:39Z,game roblox ramai karena grow a garden sama trend itu doang
@veldora_25,"Ah sudah lah,udah beberapa tahun,tragedi ini mengingatkan kembali akan seseorang dari jepang yang nikah dengan karakter hitsune miku,ah man ayolah,itu hanya semua karakter,jangan sampe warga indo ada yang ngeluarin duit sampe ratusan milyar,buat nikah sama karakter itu,cukup sekertaris desa yang korup dana desa sebesar 500jt buat top up ML,",0,2025-07-06T10:02:14Z,ah sudah lah udah beberapa tahun tragedi ini mengingatkan kembali akan seseorang dari jepang yang nikah dengan karakter hitsune miku ah man ayolah itu hanya semua karakter jangan sampe warga indo ada yang ngeluarin duit sampe ratusan milyar buat nikah sama karakter itu cukup sekertaris desa yang korup dana desa sebesar 500jt buat top up ml
@RAKHWANGY,Oji wahyudi oh oji wahyudi😹,0,2025-07-06T09:55:07Z,oji wahyudi oh oji wahyudi
@UnLucky217,"birahi ama gituan? ga waras, yg bikin char ga masalah, yg masalah tuh otak kalian sangean anjir, otak nya di simpen di tytyt",0,2025-07-06T07:55:42Z,birahi ama gituan ga waras yg bikin char ga masalah yg masalah tuh otak kalian sangean anjir otak nya di simpen di tytyt
@Soldier64738,Kreatornya sendiri sampai hiatus hanya karena si Oji,0,2025-07-06T07:25:43Z,kreatornya sendiri sampai hiatus hanya karena si oji
@pencintakeindahan3406,Yoooo haram,0,2025-07-06T07:17:17Z,yoooo haram
@Car-and-shot,Cuk balok,0,2025-07-06T07:15:03Z,cuk balok
@mahiiruuchaan,Ah normal inimah😂,0,2025-07-06T07:12:16Z,ah normal inimah
@rizwanmaulana5766,Namanya jg wibu ya gitu kalo ga cabul ya stress,0,2025-07-06T07:00:18Z,namanya jg wibu ya gitu kalo ga cabul ya stress
@Dimas.ahmad_muzaki.07,"Kayaknya ODGJ masih mending ketimbang Oji, hell nah ☠️☠️",0,2025-07-06T06:45:16Z,kayaknya odgj masih mending ketimbang oji hell nah
@Newgate_N,Ban roblox. 😊,0,2025-07-06T06:25:01Z,ban roblox
@Wahyu-v8o,Oji wahyudi,0,2025-07-06T06:24:58Z,oji wahyudi
@SenseiArguzz,Birahi ama balok,0,2025-07-06T06:02:22Z,birahi ama balok
@DarleloDarlelo,oji wahyudi ingin menikah dengan karakter Roblox 😂😂😂😂😂😂😂,3,2025-07-06T05:38:31Z,oji wahyudi ingin menikah dengan karakter roblox
@zhym_sweetluvv,meanwhile gw cwe ava cwo🤭🤭,1,2025-07-06T05:31:51Z,meanwhile gw cwe ava cwo
@SUPERBANDBIKINIBOTTOM,Apalah cik birahi sama balok,0,2025-07-06T05:03:49Z,apalah cik birahi sama balok
@keonggondang989,"Lah jaman gw dulu sama aja, bedanya low poly 🤣🤣",0,2025-07-06T04:50:06Z,lah jaman gw dulu sama aja bedanya low poly
@nazxwa,Pas aku liat akun tik tok nya kok Dikit🗿,0,2025-07-06T04:00:29Z,pas aku liat akun tik tok nya kok dikit
@AkiraApgan,Wahyudi wahyudi😭,0,2025-07-06T03:26:36Z,wahyudi wahyudi
@feirx038,diaitusus di roblox lu juga gw ada tau,0,2025-07-06T01:33:22Z,diaitusus di roblox lu juga gw ada tau
@feirx038,😠😠😠😠😠😠dia itu sus di roblox lu,0,2025-07-06T01:32:08Z,dia itu sus di roblox lu
@feirx038,sus!!😠,0,2025-07-06T01:30:53Z,sus
@tuyulhijau123,Roblox viral karena gag,0,2025-07-06T01:21:00Z,roblox viral karena gag
@shovartube,"Ah normal itumah, temen gw gambar muka di bola barunya malah dibuat jadi istri🗿🗿",0,2025-07-06T00:37:50Z,ah normal itumah temen gw gambar muka di bola barunya malah dibuat jadi istri
@Dsariqullahhh123.,nanggung banget mending lu liat hentai.,0,2025-07-05T21:43:11Z,nanggung banget mending lu liat hentai
@AqHR-t4d,amboiiii sodapnyoooooo,0,2025-07-05T17:29:36Z,amboiiii sodapnyoooooo
@HaruCh007,"Ga ngapa ngapain, ga Nyenggol malah makin rame 💀",1,2025-07-05T16:26:38Z,ga ngapa ngapain ga nyenggol malah makin rame
@Agus-gz1zr,Mereka ngak terselamatkan 😂😂😂😂,0,2025-07-05T15:30:51Z,mereka ngak terselamatkan
@pgwpills,"Jadi males main roblox dah, jadi game cari pacar sama caboel 👺",0,2025-07-05T15:24:28Z,jadi males main roblox dah jadi game cari pacar sama caboel
@GdeTeo,Biasa goblok,0,2025-07-05T14:46:17Z,biasa goblok
@Lamka_chanel,oji Wahyudi mana tahan,0,2025-07-05T14:23:49Z,oji wahyudi mana tahan
@Samurai-Vvvv,Orang gila mana yang birahi ama Lego anjg,0,2025-07-05T13:04:34Z,orang gila mana yang birahi ama lego anjg
@KingAbhin,Antum birahi😂,1,2025-07-05T12:47:05Z,antum birahi
@NugiAswanaska,Birahi sama Avatar Alin🗿,0,2025-07-05T12:28:30Z,birahi sama avatar alin
@BakulsembakoSugih,Gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru,0,2025-07-05T11:47:30Z,gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru
@ibnu374,anjir gw gak bisa berkata kata,0,2025-07-05T11:41:17Z,anjir gw gak bisa berkata kata
@jimmyaditiya8279,Wkwk bocah banyakan colay ya gtu,0,2025-07-05T11:36:34Z,wkwk bocah banyakan colay ya gtu
@Arya-z8o7x,Menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi,1,2025-07-05T11:30:33Z,menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi
@RafliGM,Itu udah gak normal bg itu udah ganguan jiwa,0,2025-07-05T11:09:01Z,itu udah gak normal bg itu udah ganguan jiwa
@S_Memer89,Fomo dasar orang orang menyedihkan ha punya pasangan,0,2025-07-05T10:51:52Z,fomo dasar orang orang menyedihkan ha punya pasangan
@RealmeC11-vo2gu,Jir ada yang mau birahi sama balok kalo gw mah lebih baik Mabar blood strike nice 👍,0,2025-07-05T10:29:36Z,jir ada yang mau birahi sama balok kalo gw mah lebih baik mabar blood strike nice
@SeptianTian-j7d,Roblox sekarang pada gak seru terus Sus lagi,0,2025-07-05T08:34:05Z,roblox sekarang pada gak seru terus sus lagi
@RayaNurMubarok,HELL NAHH aneh aneh aja 😅,1,2025-07-05T08:18:45Z,hell nahh aneh aneh aja
@nqtsuuuo5567,"Klo mau ava ky gini mending amin zepeto aja, roblok gim buat bocil jir",0,2025-07-05T08:04:40Z,klo mau ava ky gini mending amin zepeto aja roblok gim buat bocil jir
@stefanuspenes5555,"Player report: lihat itu ada yg sus 

Roblox: ha itu bukan urusan ku",1,2025-07-05T07:34:17Z,player report lihat itu ada yg sus roblox ha itu bukan urusan ku
@ARROYAYAN,"Yang di tutup pake warna hijau tuh Sus sam ngetod 🗿🗿🗿🗿🗿🗿
🗿🗿🗿🗿",0,2025-07-05T07:32:43Z,yang di tutup pake warna hijau tuh sus sam ngetod
@NotPostAnymore,"Char On average KU
Helm  F1 2022
baju Default Free
kalung 24K Gold dari event sama kacamata
celana Default Free :V HEHE",0,2025-07-05T07:05:40Z,char on average ku helm f1 2022 baju default free kalung 24k gold dari event sama kacamata celana default free v hehe
@cathrinechandranadi10,Salah yang benar dari grow a garden,0,2025-07-05T07:01:26Z,salah yang benar dari grow a garden
@ArdanArdan-t1m,Bro gw ga sus,0,2025-07-05T06:57:32Z,bro gw ga sus
@リフ期です,User redit yg suka sama mobil : ah normal ini,0,2025-07-05T06:36:10Z,user redit yg suka sama mobil ah normal ini
@Zyland_taufik,Roblox sebenarnya game ramah cuman dimainkan sama bocah 18+ yg mikirnya udah kgk waras ya WAJAR AJA IQ INDO -10,0,2025-07-05T06:35:48Z,roblox sebenarnya game ramah cuman dimainkan sama bocah 18 yg mikirnya udah kgk waras ya wajar aja iq indo 10
@Pabiangg,Game roblox dah rusak tae banyknya r63 r36 malas kalau gini main lagi,0,2025-07-05T06:29:52Z,game roblox dah rusak tae banyknya r63 r36 malas kalau gini main lagi
@nepaajj,"GA NORMAL ,SAMA KAYAK YG CINTA SAMA KARTUN",0,2025-07-05T06:16:28Z,ga normal sama kayak yg cinta sama kartun
@woilah-rek,Sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila,0,2025-07-05T06:10:15Z,sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila
@HAYPER_GAMERZFREEFIRE,oji oji,0,2025-07-05T06:05:06Z,oji oji
@Razornanimation,bocah ngawor,0,2025-07-05T05:19:28Z,bocah ngawor
@RobbilAlfiansyah,Gue suka gila di roblox bang gak kayak itu tambah gue suka jahil,1,2025-07-05T04:49:35Z,gue suka gila di roblox bang gak kayak itu tambah gue suka jahil
@thepeopleplaygroundonly13a28,Mending pakai r6 aja sih💀,0,2025-07-05T04:46:37Z,mending pakai r6 aja sih
@king1reng,Aneh si ya banyak orang yg sange sama kotak kotak (karakter Roblox),0,2025-07-05T04:46:33Z,aneh si ya banyak orang yg sange sama kotak kotak karakter roblox
@bintangsurya,BIASANYA BAHS ANIME KALI INI BAHAS GAME,0,2025-07-05T04:22:27Z,biasanya bahs anime kali ini bahas game
@fazrul_yt9032,roblox sudah bukan roblox yang kukenal lagi🗿,0,2025-07-05T04:11:29Z,roblox sudah bukan roblox yang kukenal lagi
@IlhamMC001,Aneh jir masa suka sama character🗿🗿,0,2025-07-05T04:08:16Z,aneh jir masa suka sama character
@Reflan-d7o,Definisi dari puncak fans roblox 😂,0,2025-07-05T03:41:38Z,definisi dari puncak fans roblox
