Username,Review Text,Likes,Date,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
@Mochi_A291,"Gambar nya sangat ""astagfirullah"" 😤",0,2025-07-13T08:29:46Z,Gambar nya sangat astagfirullah ,gambar nya sangat astagfirullah ,gambar ya sangat astagfirullah,"['gambar', 'ya', 'sangat', 'astagfirullah']","['gambar', 'ya', 'astagfirullah']",gambar ya astagfirullah,Positif
@Aku_Gabut112,si oji birahi ama gerakannya dari yang kulihat,0,2025-07-13T03:25:45Z,si oji birahi ama gerakannya dari yang kulihat,si oji birahi ama gerakannya dari yang kulihat,sih oji birahi sama gerakannya dari yang kulihat,"['sih', 'oji', 'birahi', 'sama', 'gerakannya', 'dari', 'yang', 'kulihat']","['sih', 'oji', 'birahi', 'gerakannya', 'kulihat']",sih oji birah gera lihat,Netral
@ParwoBloxx,"@𝓜𝓪𝓻𝓼𝓮𝓵𝓥𝓸𝓷𝓐𝓼𝓽𝓻𝓮𝓪:kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi, termasuk dalam cara berpakaian (Pasal 19 DUHAM – Deklarasi Universal HAM). Emang bisa dilarang di beberapa negara dgn hukum syariah/konservatif. Masalahnya ini tuh game, dia juga ga ada niatan buat mancing para gooners. murni cuman buat lucu2an",0,2025-07-13T01:08:15Z,kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi termasuk dalam cara berpakaian Pasal  DUHAM  Deklarasi Universal HAM Emang bisa dilarang di beberapa negara dgn hukum syariahkonservatif Masalahnya ini tuh game dia juga ga ada niatan buat mancing para gooners murni cuman buat lucuan,kalo cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi termasuk dalam cara berpakaian pasal  duham  deklarasi universal ham emang bisa dilarang di beberapa negara dgn hukum syariahkonservatif masalahnya ini tuh game dia juga ga ada niatan buat mancing para gooners murni cuman buat lucuan,kalau cara berpakaian ya karena setiap orang punya hak atas kebebasan berekspresi termasuk dalam cara berpakaian pasal duham deklarasi universal ham memang bisa dilarang di beberapa negara dengan hukum syariahkonservatif masalahnya ini tuh game dia juga tidak ada niatan buat mancing para gooners murni cuman buat lucuan,"['kalau', 'cara', 'berpakaian', 'ya', 'karena', 'setiap', 'orang', 'punya', 'hak', 'atas', 'kebebasan', 'berekspresi', 'termasuk', 'dalam', 'cara', 'berpakaian', 'pasal', 'duham', 'deklarasi', 'universal', 'ham', 'memang', 'bisa', 'dilarang', 'di', 'beberapa', 'negara', 'dengan', 'hukum', 'syariahkonservatif', 'masalahnya', 'ini', 'tuh', 'game', 'dia', 'juga', 'tidak', 'ada', 'niatan', 'buat', 'mancing', 'para', 'gooners', 'murni', 'cuman', 'buat', 'lucuan']","['berpakaian', 'ya', 'orang', 'hak', 'kebebasan', 'berekspresi', 'berpakaian', 'pasal', 'duham', 'deklarasi', 'universal', 'ham', 'dilarang', 'negara', 'hukum', 'syariahkonservatif', 'tuh', 'game', 'niatan', 'mancing', 'gooners', 'murni', 'cuman', 'lucuan']",pakai ya orang hak bebas ekspres pakai pasal duham deklarasi universal ham larang negara hukum syariahkonservatif tuh game niat mancing gooners murni cuman lucu,Negatif
@Gevio-t9d,HIDUP CANGCUT🤪🤪🤪🤪🤪,0,2025-07-12T16:30:59Z,HIDUP CANGCUT,hidup cangcut,hidup cangcut,"['hidup', 'cangcut']","['hidup', 'cangcut']",hidup cangcut,Netral
@Scndyn,Kakinya ada sudutnya gitu,0,2025-07-12T15:46:06Z,Kakinya ada sudutnya gitu,kakinya ada sudutnya gitu,kakinya ada sudutnya begitu,"['kakinya', 'ada', 'sudutnya', 'begitu']","['kakinya', 'sudutnya']",kaki sudut,Netral
@joshuasibuea2574,Dari pada lihat keginian mending jadi bajak laut aje,0,2025-07-12T15:44:02Z,Dari pada lihat keginian mending jadi bajak laut aje,dari pada lihat keginian mending jadi bajak laut aje,dari pada lihat keginian mending jadi bajak laut saja,"['dari', 'pada', 'lihat', 'keginian', 'mending', 'jadi', 'bajak', 'laut', 'saja']","['lihat', 'keginian', 'mending', 'bajak', 'laut']",lihat keginian mending bajak laut,Netral
@EXAl-4,Yang banyak itu grow a garden 😎👊,0,2025-07-12T14:53:10Z,Yang banyak itu grow a garden ,yang banyak itu grow a garden ,yang banyak itu grow a garden,"['yang', 'banyak', 'itu', 'grow', 'a', 'garden']","['grow', 'a', 'garden']",grow a garden,Netral
@KryptoniteCH,Original song?,0,2025-07-12T08:59:01Z,Original song,original song,original song,"['original', 'song']","['original', 'song']",original song,Netral
@MuhammadAbiga,"Gw main roblox karena:seru.ngakak
Oji wahyudi main roblox karena:birahi sama kaki gajah🤓",0,2025-07-12T06:50:09Z,"Gw main roblox karenaserungakak
Oji wahyudi main roblox karenabirahi sama kaki gajah","gw main roblox karenaserungakak
oji wahyudi main roblox karenabirahi sama kaki gajah",gue main roblox karenaserungakak oji wahyudi main roblox karenabirahi sama kaki gajah,"['gue', 'main', 'roblox', 'karenaserungakak', 'oji', 'wahyudi', 'main', 'roblox', 'karenabirahi', 'sama', 'kaki', 'gajah']","['gue', 'main', 'roblox', 'karenaserungakak', 'oji', 'wahyudi', 'main', 'roblox', 'karenabirahi', 'kaki', 'gajah']",gue main roblox karenaserungakak oji wahyudi main roblox karenabirahi kaki gajah,Netral
@RusDiana-f6e,Antum birahi ama balok 😂😂😂,0,2025-07-12T04:40:41Z,Antum birahi ama balok ,antum birahi ama balok ,antum birahi sama balok,"['antum', 'birahi', 'sama', 'balok']","['antum', 'birahi', 'balok']",antum birah balok,Negatif
@VeemoonXA,Stress 🗿,0,2025-07-12T04:03:33Z,Stress ,stress ,stres,['stres'],['stres'],stres,Negatif
@awfi267,santai aja masse,0,2025-07-11T21:20:35Z,santai aja masse,santai aja masse,santai saja masse,"['santai', 'saja', 'masse']","['santai', 'masse']",santai masse,Positif
@Alkia12,antum birahi sama kaki gajah😂😂,1,2025-07-11T17:46:24Z,antum birahi sama kaki gajah,antum birahi sama kaki gajah,antum birahi sama kaki gajah,"['antum', 'birahi', 'sama', 'kaki', 'gajah']","['antum', 'birahi', 'kaki', 'gajah']",antum birah kaki gajah,Negatif
@faishalalfarisi1423,"mana ada
roblox udh rame dari dulu
bahkan akunnya melewati batas populasi manusia saat itu",0,2025-07-11T16:35:27Z,"mana ada
roblox udh rame dari dulu
bahkan akunnya melewati batas populasi manusia saat itu","mana ada
roblox udh rame dari dulu
bahkan akunnya melewati batas populasi manusia saat itu",mana ada roblox sudah rame dari dulu bahkan akunnya melewati batas populasi manusia saat itu,"['mana', 'ada', 'roblox', 'sudah', 'rame', 'dari', 'dulu', 'bahkan', 'akunnya', 'melewati', 'batas', 'populasi', 'manusia', 'saat', 'itu']","['roblox', 'rame', 'akunnya', 'melewati', 'batas', 'populasi', 'manusia']",roblox rame akun lewat batas populasi manusia,Netral
@iis_-07,Tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di Brookhaven,0,2025-07-11T15:37:41Z,Tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di Brookhaven,tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di brookhaven,tapi saya saya main roblox bukan karena avatar ini tapi karena seorang lanang yang ngedrift di brookhaven,"['tapi', 'saya', 'saya', 'main', 'roblox', 'bukan', 'karena', 'avatar', 'ini', 'tapi', 'karena', 'seorang', 'lanang', 'yang', 'ngedrift', 'di', 'brookhaven']","['main', 'roblox', 'avatar', 'lanang', 'ngedrift', 'brookhaven']",main roblox avatar lanang ngedrift brookhaven,Netral
@DiegoAlexander-w1h,Ternyata lebih baik ngewaifuin hoshino,0,2025-07-11T15:35:22Z,Ternyata lebih baik ngewaifuin hoshino,ternyata lebih baik ngewaifuin hoshino,ternyata lebih baik ngewaifuin hoshino,"['ternyata', 'lebih', 'baik', 'ngewaifuin', 'hoshino']","['ngewaifuin', 'hoshino']",ngewaifuin hoshino,Netral
@NXXA80,Tidak normal,0,2025-07-11T14:59:48Z,Tidak normal,tidak normal,tidak normal,"['tidak', 'normal']",['normal'],normal,Positif
@revengeformyfamily,Avatar anomali,0,2025-07-11T14:44:36Z,Avatar anomali,avatar anomali,avatar anomali,"['avatar', 'anomali']","['avatar', 'anomali']",avatar anomali,Netral
@Arkanamaliq-r8q3t,tolong aku sesat gamau lagi😭,0,2025-07-11T14:31:14Z,tolong aku sesat gamau lagi,tolong aku sesat gamau lagi,tolong aku sesat lagi,"['tolong', 'aku', 'sesat', 'lagi']","['tolong', 'sesat']",tolong sesat,Negatif
@Arkanamaliq-r8q3t,sesat,0,2025-07-11T14:30:51Z,sesat,sesat,sesat,['sesat'],['sesat'],sesat,Negatif
@ratnaningtyas7141,roblox itu viral karens grow a garden muncul dotv indo,0,2025-07-11T12:46:35Z,roblox itu viral karens grow a garden muncul dotv indo,roblox itu viral karens grow a garden muncul dotv indo,roblox itu viral karens grow a garden muncul dotv indonesia,"['roblox', 'itu', 'viral', 'karens', 'grow', 'a', 'garden', 'muncul', 'dotv', 'indonesia']","['roblox', 'viral', 'karens', 'grow', 'a', 'garden', 'muncul', 'dotv', 'indonesia']",roblox viral karens grow a garden muncul dotv indonesia,Netral
@Nofal_cihuyy,Wahyu di Wahyu di 🗿,0,2025-07-11T12:45:45Z,Wahyu di Wahyu di ,wahyu di wahyu di ,wahyu di wahyu di,"['wahyu', 'di', 'wahyu', 'di']","['wahyu', 'wahyu']",wahyu wahyu,Positif
@yanyanto_yatim,Mendin jadi petani ganj#,0,2025-07-11T10:10:13Z,Mendin jadi petani ganj,mendin jadi petani ganj,mendin jadi petani ganj,"['mendin', 'jadi', 'petani', 'ganj']","['mendin', 'petani', 'ganj']",din tani ganj,Netral
@givehappyboxer,Birahi sama dua batang persegi,0,2025-07-11T09:52:53Z,Birahi sama dua batang persegi,birahi sama dua batang persegi,birahi sama dua batang persegi,"['birahi', 'sama', 'dua', 'batang', 'persegi']","['birahi', 'batang', 'persegi']",birah batang persegi,Negatif
@GemWNeverDie,menyukai mah normal tapi kalo sange mah beda,0,2025-07-11T09:08:08Z,menyukai mah normal tapi kalo sange mah beda,menyukai mah normal tapi kalo sange mah beda,menyukai mah normal tapi kalau sange mah beda,"['menyukai', 'mah', 'normal', 'tapi', 'kalau', 'sange', 'mah', 'beda']","['menyukai', 'mah', 'normal', 'sange', 'mah', 'beda']",suka mah normal sange mah beda,Negatif
@nuralammawardah5046,Mending gua main Roblox karena Forsaken,0,2025-07-11T08:33:57Z,Mending gua main Roblox karena Forsaken,mending gua main roblox karena forsaken,mending gua main roblox karena forsaken,"['mending', 'gua', 'main', 'roblox', 'karena', 'forsaken']","['mending', 'gua', 'main', 'roblox', 'forsaken']",mending gua main roblox forsaken,Negatif
@daniumasugi5242,Amerika sekarang bisa menunjukan sisi gelap mereka,0,2025-07-11T08:25:46Z,Amerika sekarang bisa menunjukan sisi gelap mereka,amerika sekarang bisa menunjukan sisi gelap mereka,amerika sekarang bisa menunjukan sisi gelap mereka,"['amerika', 'sekarang', 'bisa', 'menunjukan', 'sisi', 'gelap', 'mereka']","['amerika', 'menunjukan', 'sisi', 'gelap']",amerika tunjuk sisi gelap,Negatif
@jeremiahethaniel4068,AYO WHAT THE,0,2025-07-11T07:47:23Z,AYO WHAT THE,ayo what the,ayo what the,"['ayo', 'what', 'the']","['ayo', 'what', 'the']",ayo what the,Positif
@NurelahBela,Antum birahi sama balok💀,0,2025-07-11T03:50:00Z,Antum birahi sama balok,antum birahi sama balok,antum birahi sama balok,"['antum', 'birahi', 'sama', 'balok']","['antum', 'birahi', 'balok']",antum birah balok,Negatif
@Pamungkas_02,Birahi Ama kotak🗿,0,2025-07-11T02:54:19Z,Birahi Ama kotak,birahi ama kotak,birahi sama kotak,"['birahi', 'sama', 'kotak']","['birahi', 'kotak']",birah kotak,Negatif
@itachi-r4y,Dicari Oji wahyudi  jika anda menemukan orang ini langsung telpon ke saya,0,2025-07-11T02:52:45Z,Dicari Oji wahyudi  jika anda menemukan orang ini langsung telpon ke saya,dicari oji wahyudi  jika anda menemukan orang ini langsung telpon ke saya,dicari oji wahyudi jika anda menemukan orang ini langsung telpon ke saya,"['dicari', 'oji', 'wahyudi', 'jika', 'anda', 'menemukan', 'orang', 'ini', 'langsung', 'telpon', 'ke', 'saya']","['dicari', 'oji', 'wahyudi', 'menemukan', 'orang', 'langsung', 'telpon']",cari oji wahyudi temu orang langsung telpon,Positif
@Nuriel_a10,Anda birahi dengan lego? Sudah tidak tertolongkan 😭,0,2025-07-10T15:30:10Z,Anda birahi dengan lego Sudah tidak tertolongkan ,anda birahi dengan lego sudah tidak tertolongkan ,anda birahi dengan lego sudah tidak tertolongkan,"['anda', 'birahi', 'dengan', 'lego', 'sudah', 'tidak', 'tertolongkan']","['birahi', 'lego', 'tertolongkan']",birah lego tolong,Negatif
@SuarTawan-no7im,Aote lah bg roblok  mah biarin aja bahas aote  aja bg lebih seruuu,0,2025-07-10T14:40:37Z,Aote lah bg roblok  mah biarin aja bahas aote  aja bg lebih seruuu,aote lah bg roblok  mah biarin aja bahas aote  aja bg lebih seruuu,aote lah bang roblok mah biarkan saja bahas aote saja bang lebih seru,"['aote', 'lah', 'bang', 'roblok', 'mah', 'biarkan', 'saja', 'bahas', 'aote', 'saja', 'bang', 'lebih', 'seru']","['aote', 'bang', 'roblok', 'mah', 'biarkan', 'bahas', 'aote', 'bang', 'seru']",aote bang roblok mah biar bahas aote bang seru,Positif
@nununsumiarsa2295,"bro, membanggakan style nya sendiri, padahal terlihat menjijikan + buat apaan kek gitu emang, gara gara ulah manusia yang terobsesi dengan Gooner style, style gituan gak ada gunanya",1,2025-07-10T13:26:25Z,bro membanggakan style nya sendiri padahal terlihat menjijikan  buat apaan kek gitu emang gara gara ulah manusia yang terobsesi dengan Gooner style style gituan gak ada gunanya,bro membanggakan style nya sendiri padahal terlihat menjijikan  buat apaan kek gitu emang gara gara ulah manusia yang terobsesi dengan gooner style style gituan gak ada gunanya,bro membanggakan style ya sendiri padahal terlihat menjijikan buat apaan kayak begitu memang gara gara ulah manusia yang terobsesi dengan gooner style style begituan tidak ada gunanya,"['bro', 'membanggakan', 'style', 'ya', 'sendiri', 'padahal', 'terlihat', 'menjijikan', 'buat', 'apaan', 'kayak', 'begitu', 'memang', 'gara', 'gara', 'ulah', 'manusia', 'yang', 'terobsesi', 'dengan', 'gooner', 'style', 'style', 'begituan', 'tidak', 'ada', 'gunanya']","['bro', 'membanggakan', 'style', 'ya', 'menjijikan', 'kayak', 'gara', 'gara', 'ulah', 'manusia', 'terobsesi', 'gooner', 'style', 'style', 'begituan', 'gunanya']",bro bangga style ya jijik kayak gara gara ulah manusia obsesi gooner style style begitu guna,Negatif
@Jack_473,Cmn orang gila yang sang3 sama karakter roblox 😹,0,2025-07-10T13:13:47Z,Cmn orang gila yang sang sama karakter roblox ,cmn orang gila yang sang sama karakter roblox ,cuman orang gila yang sang sama karakter roblox,"['cuman', 'orang', 'gila', 'yang', 'sang', 'sama', 'karakter', 'roblox']","['cuman', 'orang', 'gila', 'sang', 'karakter', 'roblox']",cuman orang gila sang karakter roblox,Netral
@AdiyatAZAhmadi,Sesat,0,2025-07-10T11:57:41Z,Sesat,sesat,sesat,['sesat'],['sesat'],sesat,Negatif
@RanzGege,"Kalo suka ama pp yg di pake alin sih normal aja, tapi kalo versi roblox dan paha kotak sih...",0,2025-07-10T08:43:16Z,Kalo suka ama pp yg di pake alin sih normal aja tapi kalo versi roblox dan paha kotak sih,kalo suka ama pp yg di pake alin sih normal aja tapi kalo versi roblox dan paha kotak sih,kalau suka sama pp yang di pakai alin sih normal saja tapi kalau versi roblox dan paha kotak sih,"['kalau', 'suka', 'sama', 'pp', 'yang', 'di', 'pakai', 'alin', 'sih', 'normal', 'saja', 'tapi', 'kalau', 'versi', 'roblox', 'dan', 'paha', 'kotak', 'sih']","['suka', 'pp', 'pakai', 'alin', 'sih', 'normal', 'versi', 'roblox', 'paha', 'kotak', 'sih']",suka pp pakai alin sih normal versi roblox paha kotak sih,Netral
@rupatin5006,Oji Wahyudi ingin nikah Ama Avatar Roblox 🗿,0,2025-07-10T06:14:39Z,Oji Wahyudi ingin nikah Ama Avatar Roblox ,oji wahyudi ingin nikah ama avatar roblox ,oji wahyudi ingin nikah sama avatar roblox,"['oji', 'wahyudi', 'ingin', 'nikah', 'sama', 'avatar', 'roblox']","['oji', 'wahyudi', 'nikah', 'avatar', 'roblox']",oji wahyudi nikah avatar roblox,Netral
@biyudoang,Hell nah birahi sama kardus😂,0,2025-07-10T05:07:19Z,Hell nah birahi sama kardus,hell nah birahi sama kardus,hell nah birahi sama kardus,"['hell', 'nah', 'birahi', 'sama', 'kardus']","['hell', 'birahi', 'kardus']",hell birah kardus,Negatif
@BambangIrawan-sg1kh,hadeh GOBLOX!!!!!!!!!!!,0,2025-07-10T03:59:07Z,hadeh GOBLOX,hadeh goblox,hadeh goblox,"['hadeh', 'goblox']","['hadeh', 'goblox']",hadeh goblox,Negatif
@KhairuddinMahendra-dk3ed,Bro belum tau R63😋😋😋,0,2025-07-10T02:46:29Z,Bro belum tau R,bro belum tau r,bro belum tau r,"['bro', 'belum', 'tau', 'r']","['bro', 'tau', 'r']",bro tau r,Negatif
@FatihGeming-b2x,"Ko jadi bahas roblox min🗿, harus nya bahas anime🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿",0,2025-07-10T02:41:03Z,Ko jadi bahas roblox min harus nya bahas anime,ko jadi bahas roblox min harus nya bahas anime,kok jadi bahas roblox min harus ya bahas anime,"['kok', 'jadi', 'bahas', 'roblox', 'min', 'harus', 'ya', 'bahas', 'anime']","['bahas', 'roblox', 'min', 'ya', 'bahas', 'anime']",bahas roblox min ya bahas anime,Positif
@Xabre_MC,Antum birahi sama balok,0,2025-07-09T23:08:26Z,Antum birahi sama balok,antum birahi sama balok,antum birahi sama balok,"['antum', 'birahi', 'sama', 'balok']","['antum', 'birahi', 'balok']",antum birah balok,Negatif
@Fanzz_gaming17,"""antum birahi sama avatar roblox?"" 😂",0,2025-07-09T22:24:47Z,antum birahi sama avatar roblox ,antum birahi sama avatar roblox ,antum birahi sama avatar roblox,"['antum', 'birahi', 'sama', 'avatar', 'roblox']","['antum', 'birahi', 'avatar', 'roblox']",antum birah avatar roblox,Negatif
@Rexxy-M1,Cantik banget gilak🥵,0,2025-07-09T22:17:09Z,Cantik banget gilak,cantik banget gilak,cantik banget gila,"['cantik', 'banget', 'gila']","['cantik', 'banget', 'gila']",cantik banget gila,Positif
@HABIBI_Robloxanimation,"Bang
 Gua sampe minta edit sama Cici dan aku suru BHnya hilang kan dan malah baju sama BHnya ilang sama di kasih yang pakai celana dalam",0,2025-07-09T17:08:37Z,"Bang
 Gua sampe minta edit sama Cici dan aku suru BHnya hilang kan dan malah baju sama BHnya ilang sama di kasih yang pakai celana dalam","bang
 gua sampe minta edit sama cici dan aku suru bhnya hilang kan dan malah baju sama bhnya ilang sama di kasih yang pakai celana dalam",abang gua sampai meminta edit sama cici dan aku suruh bahannya hilang kan dan malah baju sama bahannya hilang sama di kasih yang pakai celana dalam,"['abang', 'gua', 'sampai', 'meminta', 'edit', 'sama', 'cici', 'dan', 'aku', 'suruh', 'bahannya', 'hilang', 'kan', 'dan', 'malah', 'baju', 'sama', 'bahannya', 'hilang', 'sama', 'di', 'kasih', 'yang', 'pakai', 'celana', 'dalam']","['abang', 'gua', 'edit', 'cici', 'suruh', 'bahannya', 'hilang', 'baju', 'bahannya', 'hilang', 'kasih', 'pakai', 'celana']",abang gua edit cici suruh bahan hilang baju bahan hilang kasih pakai celana,Negatif
@rimbosementara1,"KLO ak ga birahi anjr malah dalam hati gwe bilang 
(Buset cntik bet , andai ada yang kek gini di dunia nyata, lgsung gwe temba)",0,2025-07-09T16:06:03Z,"KLO ak ga birahi anjr malah dalam hati gwe bilang 
Buset cntik bet  andai ada yang kek gini di dunia nyata lgsung gwe temba","klo ak ga birahi anjr malah dalam hati gwe bilang 
buset cntik bet  andai ada yang kek gini di dunia nyata lgsung gwe temba",kalau aku tidak birahi anjr malah dalam hati gwe bilang buset cantik banget andai ada yang kayak begini di dunia nyata langsung gwe temba,"['kalau', 'aku', 'tidak', 'birahi', 'anjr', 'malah', 'dalam', 'hati', 'gwe', 'bilang', 'buset', 'cantik', 'banget', 'andai', 'ada', 'yang', 'kayak', 'begini', 'di', 'dunia', 'nyata', 'langsung', 'gwe', 'temba']","['birahi', 'anjr', 'hati', 'gwe', 'bilang', 'buset', 'cantik', 'banget', 'andai', 'kayak', 'dunia', 'nyata', 'langsung', 'gwe', 'temba']",birah anjr hati gwe bilang buset cantik banget andai kayak dunia nyata langsung gwe temba,Positif
@dilongginanda,stres jir,0,2025-07-09T15:31:29Z,stres jir,stres jir,stres jir,"['stres', 'jir']","['stres', 'jir']",stres jir,Negatif
@Kingoffical-srm,Untung gue main ML hehehe,1,2025-07-09T12:58:52Z,Untung gue main ML hehehe,untung gue main ml hehehe,untung gue main ml hehehe,"['untung', 'gue', 'main', 'ml', 'hehehe']","['untung', 'gue', 'main', 'ml', 'hehehe']",untung gue main ml hehehe,Netral
@ErvandyPermana,Kan Wahyudi,0,2025-07-09T12:04:39Z,Kan Wahyudi,kan wahyudi,kan wahyudi,"['kan', 'wahyudi']",['wahyudi'],wahyudi,Netral
@leo6910-v6p,💀💀bro sudah terangsang,0,2025-07-09T11:37:10Z,bro sudah terangsang,bro sudah terangsang,bro sudah terangsang,"['bro', 'sudah', 'terangsang']","['bro', 'terangsang']",bro rangsang,Negatif
@Aiartistzz,oji wahyudii,0,2025-07-09T11:19:50Z,oji wahyudii,oji wahyudii,oji wahyudii,"['oji', 'wahyudii']","['oji', 'wahyudii']",oji wahyudii,Netral
@Zavier-i8u,Nanjis gw bang2x,1,2025-07-09T11:05:57Z,Nanjis gw bangx,nanjis gw bangx,nanjis gue bangx,"['nanjis', 'gue', 'bangx']","['nanjis', 'gue', 'bangx']",nanjis gue bangx,Netral
