text,sentiment
roblox game ramah cuman main bocah mikirnya kgk waras ya wajar iq indonesia,Positif
orang gila,Netral
gue pernha tonton chanel gue pengaruh gue masuk roblox seru,Negatif
kotak kotak anjir,Negatif
hadeh veteran roblox lihat kecewa sih,Netral
kuntum farm ya,Positif
klarifikasi,Netral
bawa santai paling avatar buru hode,Positif
kayak odgj mending ketimbang oji hell,Negatif
mmk buka dikit bilang porno,Negatif
suka avatar roblox ya stres bro stres,Negatif
oji wahyudi tahan,Netral
oji wahyudi grup fb timpa teks versi,Negatif
wanita main roblox char ya cantik gue kapibara,Positif
untung gue main gegara main,Negatif
brookhaven barak militer,Netral
bacon hair hati,Netral
begitu mending admin zioles irengggggg,Netral
roblox rame akun lewat batas populasi manusia,Netral
ayo what the,Positif
orang gila birah lego anjg,Negatif
nama wibu ya cabul ya stres,Netral
karakter kayak bot coy,Negatif
keren dongo,Netral
untung gue main forsaken,Netral
serap air mata,Negatif
suka oji wahyudi,Netral
game edukasi,Positif
birah karakter anjing,Negatif
yaelah,Netral
chart genshinzzzhonkai roblox cok,Netral
aduh kamar mandi dawg,Netral
sakit gila tolong,Negatif
ente nafsu kotak kotak,Negatif
oji wahyudi,Netral
kayak samge kartun game,Netral
versi fan artnya mending anjir kayak anime anime versi game sange,Negatif
gua mending gua tonton guest vidio,Negatif
hell,Netral
jaman gue beda low poly,Negatif
wa giler omggggggg yiahh yametehh,Netral
bro gue pilih tonton skibidi toilet lihat kayak,Negatif
birah kotak,Negatif
rusak rusak,Netral
game fomo,Positif
gue cuman orang tres fetish karakter roblox,Netral
antum birah avatar robloxbro hilang akal ya,Netral
b anime jir,Negatif
orang gila,Netral
bingung gue generasi maju gila aneh,Negatif
salah rame grow a garden,Negatif
karakter roblox anime ku cuman beda orang lumayan lihat orang gila anime kartun furry roblox minecraft genshin dongua manhua dll ku beda cuman kena lcd ya,Negatif
ya char kayak roblox main,Netral
gue main roblox grow a garden,Netral
damn,Netral
stres,Negatif
gua main roblok cinta char roblox gua cinta char roblox sinting gua gua pengin kayak grow a garden cinta char roblox,Negatif
gedein dikit bicara,Negatif
game roblox rusak tae banyknya r r malas main,Negatif
ah normal itumah teman gue gambar muka bola baru istri,Positif
gila birah ava rblx,Negatif
game sesat kumpul bocil,Netral
bannanti anak anak lihat,Negatif
ah lahudah tahuntragedi jepang nikah karakter hitsune mikuah man ayolahitu karakterjangan warga indonesia keluar duit ratus milyarbuat nikah karakter itucukup sekertaris desa korup dana desa juta top up ml,Netral
cuk balok,Netral
nama gue cok oji wahyu noooo,Positif
gila,Netral
antum birah kubus,Negatif
kira game grow a garden,Positif
meanwhile gue cewek ava cowok,Netral
sakit jiwa njr,Negatif
ah normal mah,Positif
sih valen iseng trend anjir awoakwok,Negatif
ah normal inimah,Positif
duh panas panas sange euy,Negatif
sus roblox,Netral
sih bawa santai stres,Netral
cuman orang gila sang karakter roblox,Netral
gue main roblox game haram,Positif
mending ava bacon aying gratis,Positif
kangen roblox,Netral
gue tarik gara gara game blox fruit ku main roblox,Netral
player roblox lenceng,Netral
alin tahu mamah,Negatif
char on average ku helm f baju default free kalung gold event kacamata celana default free v hehe,Positif
pakai ya orang hak bebas ekspres pakai pasal duham deklarasi universal ham larang negara hukum syariahkonservatif tuh game niat mancing gooners murni cuman lucu,Negatif
mending gua main roblox forsaken,Negatif
tolong sesat,Negatif
mending pakai r sih,Netral
goblok,Negatif
suka avatar orang stres,Negatif
kacau,Netral
mending tani,Netral
rblx,Netral
bahas roblox min ya bahas anime,Positif
gue pengin ketawa anjir,Positif
susss abang,Netral
streamer roblox senang rame nganggap joke yakali orang benar sange an roblox bjir,Negatif
aneh gagu jiwa anjir suka paha kotak aduh dasar bocah roblox anak anak bawah,Negatif
birah lego tolong,Negatif
mending tani grow a garden,Netral
stresss,Netral
abang infoin fan artnya,Netral
birah roblox waras,Negatif
b gue mah orang ya kali stres,Netral
akhir cokkk,Netral
admin bahas woylah,Positif
mending main map battlegrounds tani,Netral
gua main roblox lihat main roblox,Netral
oji wahyudi,Netral
gua main roblox seruseruan abang,Negatif
wkwkwkwkwkw,Netral
aneh sih ya orang sange kotak kotak karakter roblox,Negatif
birah balok,Negatif
doang sange bocil puber,Negatif
nafsu kotak kubusdulu roblox kotak,Negatif
oji wahyudii,Netral
oji wahyudi nikah avatar roblox,Netral
din tani ganj,Netral
mah manding coba versi r ya kayak toprut isi,Netral
ya gila kali suka karakter game mah gila lewat jir gue habis dengar kabar guling gambar karakter gue tonjok jir hp gue cog,Negatif
peduli skin doang mending main,Netral
bocah temu kucing peduli ipo chan,Positif
avatar anomali,Netral
main roblox bilekho,Netral
wajar birah character roblox,Negatif
gue sih kaya,Netral
jadi ai tarik tampil meanwhile meme tebar internet sok many people searching roblox porn,Positif
user redit suka mobil ah normal,Positif
benjir buwat riviu ya jir orisinal wahyudi,Positif
amboiiii sodapnyoooooo,Netral
nanjis gue bangx,Netral
roblox viral,Netral
apa cik birah balok,Negatif
tonton begitu mending tani,Negatif
bukti pria selera,Netral
jir,Negatif
normal bang,Positif
jir gue suka karakter kotak,Negatif
oji wahyudi jir,Negatif
kaki sudut,Netral
ava kaya mending amin zepeto roblok gim bocil jir,Negatif
cari oji wahyudi temu orang langsung telpon,Positif
birah avatar roblox,Negatif
foto chat waras karakter roblox ajak main gara gara sseru nemu game bagus normal,Positif
waras gen alpha v,Netral
birah roblox cik wkkw,Negatif
gue main bajak laut blox fruit tani grow a garden kereta bunuh zombie dead rails main fps vs rivals tarung pakai kuat anime the strongest battle ground lo pikir gue peduli avatar,Negatif
lihat bikin nganceng bocil wa,Positif
etak on titan roblox,Netral
versi bok ya gb,Positif
asa bikin rame gara gara game grow a garden,Negatif
rame ya abang,Positif
snge fanart ya mending char ya langsung brick by brick head ah,Positif
abang roblox miliar game game grow a garden,Positif
karakter roblox vulgar banget anjir,Netral
ganormal,Netral
tolong sih,Netral
roblox lepas aksesoris kayak ya omong hi ban aksesoris kayak lepas like how,Negatif
bawa santai gua main roblox ketemu character cewek cakep ya fokus main viral character roblok cewek pusat perhati ya doang main mah boro ngelirik mantengin stok,Positif
bukti indonesia derita skizofrenia no dunia,Negatif
turut konten roblox haram kitab suci,Negatif
bro gue sus,Netral
bro bangga style ya jijik kayak gara gara ulah manusia obsesi gooner style style begitu guna,Negatif
karakter roblox bikin acengyaampun,Netral
gue setia wot blitz,Negatif
mending lihat bacon lihat avatar,Positif
cantik sih birah karakter gila sumpah mending main ff ml cari cewek reall birah karakter roblox cantik ya gila asli orang,Negatif
avatar bagus keren cantik birah ajak teman kayak donto,Negatif
antum birah avatar roblox,Negatif
fetish,Netral
mending versi fanart cosplay nya versi balok anjing,Negatif
hell nawh gooner road block,Negatif
hell,Netral
hadeh goblox,Negatif
sumpah gua capek lihat pensiun gua roblox,Negatif
coba cekakunya alin hilang mana,Netral
suka mah normal sange mah beda,Negatif
sumpah kangen roblox toxicsexy oke tau yakalo lihat karakter kayak laku gue tang,Netral
teman oji wahyudi bikin status vn heran ange ava game,Positif
bawa santai,Positif
normal nama wahyu nyadi chat langsung engah,Positif
game cantik real life,Positif
antum birah balok,Negatif
oi rek,Netral
gws,Positif
ah avatar ya mending pacar solehah rajinpenurutbisa masakdan main ml gue,Positif
hidup cangcut,Netral
sih bro birah kotak,Negatif
benda kotak,Negatif
roblox cokkk pria misterius,Netral
wajar sih bgudh cuman ituama cuman canda,Negatif
orang sange karakter fiksi anime karakter game gila,Netral
aduhai cewek pilih character roblox,Netral
hell broo,Netral
sus,Netral
wahyu ojimana tahan,Positif
ku bilang game gila,Positif
jir,Negatif
aduhai game isi bocil bocil loh gue ketemu player avatar kayak umur ya jir pacar orang random,Positif
cantik banget gila,Positif
main roblox lihat main roblox teman main malas main ml kalah mulu,Negatif
bro tau r,Negatif
aneh jir suka character,Negatif
gue paling suka game tembak tembak roblox,Negatif
sussy baka bruhh,Netral
orang gila cowok ya,Positif
gue suka gila roblox abang kayak gue suka jahil,Negatif
untung gue main ml hehehe,Netral
hell birah kardus,Negatif
gara min gara gra jandel,Negatif
oji wahyudi,Netral
hell,Netral
santai masse,Positif
suka,Netral
salah grow a garden,Negatif
gue main roblox cari game buat indonesia konten dancedafq men,Positif
ganggu jiwa sih suka ava ya,Netral
hell birah avatar rolnuk,Negatif
cantik sih avatarnya anying,Netral
gue main roblox ngecheat awok awok awok guna deltaexploiter,Positif
whaatt theee hell,Netral
awokawokawok binal paha kotak,Negatif
gooners woila,Netral
wkwk bocah banyak colay ya,Positif
pas lihat akun tik tok ya dikit,Positif
normal bang ganguan jiwa,Positif
salah nih main ya bikin orang nafsu fantasi fetis orang beda suka furry minecraft inti ya bikin orang birah mancing,Positif
gua mah gm,Negatif
orang nya birah berat sdm rendah,Negatif
brooo plis stop gue cuman main have fun bahas truss jir creator ya klarifikasi,Positif
bahas aot,Positif
cringe mending bacon sih,Netral
ah normal inimah,Positif
halo abang,Positif
stres,Negatif
alamak roblox,Netral
biase,Netral
orang waras birah karakter kotak kotak,Negatif
jujur karakter cantik ya,Positif
stres,Negatif
gue main roblox main blox fruit,Netral
tonton fokus tob,Negatif
