author,text,likes,published_at
@FatihGeming-b2x,"Ko jadi bahas roblox min🗿, harus nya bahas anime🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿",0,2025-07-10T02:41:03Z
@Xabre_MC,Antum birahi sama balok,0,2025-07-09T23:08:26Z
@Fanzz_gaming17,"""antum birahi sama avatar roblox?"" 😂",0,2025-07-09T22:24:47Z
@Rexxy-M1,Cantik banget gilak🥵,0,2025-07-09T22:17:09Z
@HABIBI_Robloxanimation,"Bang
 Gua sampe minta edit sama Cici dan aku suru BHnya hilang kan dan malah baju sama BHnya ilang sama di kasih yang pakai celana dalam",0,2025-07-09T17:08:37Z
@rimbosementara1,"KLO ak ga birahi anjr malah dalam hati gwe bilang 
(Buset cntik bet , andai ada yang kek gini di dunia nyata, lgsung gwe temba)",0,2025-07-09T16:06:03Z
@dilongginanda,stres jir,0,2025-07-09T15:31:29Z
@Kingoffical-srm,Untung gue main ML hehehe,1,2025-07-09T12:58:52Z
@ErvandyPermana,Kan Wahyudi,0,2025-07-09T12:04:39Z
@leo6910-v6p,💀💀bro sudah terangsang,0,2025-07-09T11:37:10Z
@Aiartistzz,oji wahyudii,0,2025-07-09T11:19:50Z
@Zavier-i8u,Nanjis gw bang2x,1,2025-07-09T11:05:57Z
@L1feMac,suka sama anime si lumayan normal tapi ini🗿,0,2025-07-09T10:52:48Z
@netzxi,GAK JIR GW AJ GK SUKA AMA KARAKTER KOTAK²🗿🙏,0,2025-07-09T10:25:57Z
@ragilsaputrosutaryono5463,Mending ava bacon aying 🗿👍🏻 gratis,0,2025-07-09T09:49:08Z
@sida-vega,"MENURUT KU NORMAL SIH, MASA CUMA KARNA AVATAR JADI GAK BOLEH MAIN ROBLOX GITUH",1,2025-07-09T07:44:20Z
@UklikElek,😭😹 juga dapat menyerap air mata,0,2025-07-09T07:37:01Z
@JamalMansur-c1m,Dari pada pada gituan mendingan admin zioles yang irengggggg😂😂😂,1,2025-07-09T06:36:44Z
@dhirzz1,Tiba² klarifikasi😹,0,2025-07-09T06:26:56Z
@Nabilsyafiqafik,Festis mereka sneh bgt suka avatar roblox 🗿,0,2025-07-09T06:18:44Z
@GD_RIF_MEGALODON_FISH,Biase aj 🗿,0,2025-07-09T05:47:29Z
@taufiqlegen88,Ah normal ini mah,0,2025-07-09T03:49:10Z
@Broo-p5s,Ga wajar bang kalo suka sama balok,0,2025-07-09T03:18:05Z
@Harris12390,Owalah kak alin🗿,0,2025-07-09T02:04:02Z
@bargojengkol1211,Seters,0,2025-07-09T01:33:50Z
@TILBOWAW,Mending ama roblox bang dari pada real life😂,0,2025-07-09T01:02:28Z
@roblox70-h5e,Itu akun si cewek itu ada di YouTube atau di TikTok mau di laporin,0,2025-07-08T21:49:19Z
@williamrm5951,mending sange sama anime dri pada sange sama roblox kotak kotak yah mirip mirip mincraft kotak kotak,0,2025-07-08T19:07:43Z
@dirgantarazonano,akudah biasa sama ini,0,2025-07-08T18:20:47Z
@al_ess,Sumpah gua capek lihat ginian pensiun gua Roblox nanti,0,2025-07-08T17:52:02Z
@Sanrio921,gw yang main jailbreak doang belike💀,0,2025-07-08T16:30:59Z
@Warhawkk,"Heran gw ma orang yg ampe birahi.
Kalo gw liat emang lucu canti. Tapi gk ampe Birahi juga. Itu dah gk waras/kebanyakan nonton anime, wibu nolep",0,2025-07-08T15:49:45Z
@Hatcher4,Oji Wahyudi Ingin Savage dengan block minecraft bruh😂😂😂,0,2025-07-08T15:11:43Z
@sah4t,"Lebih bahaya minecraft sih rasa ku 😅
Ytta lah.",1,2025-07-08T14:54:35Z
@dark_hunter1118,Gw tertarik gara gara 1 game yaitu blox fruit dan itu yg membuat ku bermain roblox 🗿,0,2025-07-08T08:02:16Z
@KAWAKUJO,Uzai,0,2025-07-08T05:16:32Z
@YanzreSCRN907,BROOO PLIS STOP LAH GW CMN MO MAEN HAVE FUN AJA KNP HRUS DI BAHAS YG GINI TRUSS JIR CREATOR NYA JG UDH KLARIFIKASI 😭😭😭,2,2025-07-08T03:10:45Z
@AFRIANZA_0,benda itu kotak 😂😂😂,0,2025-07-08T01:55:58Z
@GantaBogeng,Iya bg si alin otak nya udah kayak dontoll,1,2025-07-08T00:44:20Z
@YANTOKECE8,TAK NORMAL SEJAK KAPAN ADA ORANG BIRAHI SAMA KOTAK,0,2025-07-08T00:10:11Z
@Kay_Fox99,Bawa santai saja 🙃👍,0,2025-07-07T18:27:28Z
@m.jabbarazhar1529,hadeh veteran roblox sejak 2020 liat ini kecewa sih,0,2025-07-07T14:03:45Z
@Jackie-h9y,"Sebelah cuk malah bilang lebih sehat suka anime padahal, sama sama ga sehat yang satu suka balok yang satu lagi suka halusinasi 😂😂",0,2025-07-07T13:36:02Z
@bikomang,Biar gaada org dongo gini kek alin,0,2025-07-07T13:13:33Z
@bikomang,Di rblx yg dlu aj dah,0,2025-07-07T13:13:15Z
@TandoTando-y6g,Apakah kamu suka Avatar Roblox ya kamu stres bro stres 😂😂😂😂,0,2025-07-07T12:36:57Z
@galih29-n7u,Aku di brookhaven barak militer 💀,0,2025-07-07T12:19:27Z
@BngKolil,Birahi ama balok,0,2025-07-07T11:19:03Z
@Ahdanahtar-q2h,Gua mah dari pak GM,0,2025-07-07T10:13:34Z
@Tiramisu.Latte2509,Gua yg main roblox liat beginian jadi ga main roblox lg🗿,1,2025-07-07T06:59:27Z
@Adrian-y5s9t,"Sendang Lanang yang main forsaken:
Pilih killer apaan ya",1,2025-07-07T06:53:30Z
@habiebieaufadzaki2353,Pasti yang nonton fokus karena tob***🗿💀,0,2025-07-07T04:35:10Z
@VILAIN_upin,gua pwngen ketemu orang ya biar minta robux😂😂😂😂😂,0,2025-07-07T03:49:02Z
@ASEP-0804,Oji Wahyudi : Aku c**tt,1,2025-07-07T03:21:59Z
@BlueXel-l3b,"avatar itu mungkin bagus, keren, cantik, tapi kalo anda birahi malah ngajak temen, lu kek donto-",1,2025-07-07T02:14:36Z
@SantoruGaming,Org waras mana yg birahi sama karakter kotak kotak😂😂,0,2025-07-07T01:46:43Z
@drakeano,Si valen iseng buat malah jadi trend anjir awoakwok,0,2025-07-07T00:19:54Z
@NauraKhairunnisaRamadani,plis gw nyesel deh pake badan body blush😭😞,0,2025-07-07T00:14:50Z
@AzrilAzril-o2f,dari pada pantengin vidio tuh mendingan gw nonton tutorial cara bernafas,1,2025-07-06T19:24:21Z
@S3PT14N,Aman bg b wae gw,0,2025-07-06T17:21:04Z
@EL-EDITZ-9999,Birahi Ama kotak 😂😂,0,2025-07-06T16:45:22Z
@maskplay123,"Bingung gw, ini generasi bukannya semakin maju malah semakin gilaa, aneh udah",1,2025-07-06T15:25:28Z
@eppilestari3666,Gw tau roblox dari teman,0,2025-07-06T11:32:40Z
@Zero_Grafity,game roblox ramai karena grow a garden sama trend itu doang 😂,2,2025-07-06T11:10:39Z
@veldora_25,"Ah sudah lah,udah beberapa tahun,tragedi ini mengingatkan kembali akan seseorang dari jepang yang nikah dengan karakter hitsune miku,ah man ayolah,itu hanya semua karakter,jangan sampe warga indo ada yang ngeluarin duit sampe ratusan milyar,buat nikah sama karakter itu,cukup sekertaris desa yang korup dana desa sebesar 500jt buat top up ML,",0,2025-07-06T10:02:14Z
@RAKHWANGY,Oji wahyudi oh oji wahyudi😹,0,2025-07-06T09:55:07Z
@UnLucky217,"birahi ama gituan? ga waras, yg bikin char ga masalah, yg masalah tuh otak kalian sangean anjir, otak nya di simpen di tytyt",0,2025-07-06T07:55:42Z
@Soldier64738,Kreatornya sendiri sampai hiatus hanya karena si Oji,0,2025-07-06T07:25:43Z
@pencintakeindahan3406,Yoooo haram,0,2025-07-06T07:17:17Z
@Car-and-shot,Cuk balok,0,2025-07-06T07:15:03Z
@mahiiruuchaan,Ah normal inimah😂,0,2025-07-06T07:12:16Z
@rizwanmaulana5766,Namanya jg wibu ya gitu kalo ga cabul ya stress,0,2025-07-06T07:00:18Z
@Dimas.ahmad_muzaki.07,"Kayaknya ODGJ masih mending ketimbang Oji, hell nah ☠️☠️",0,2025-07-06T06:45:16Z
@Newgate_N,Ban roblox. 😊,0,2025-07-06T06:25:01Z
@Wahyu-v8o,Oji wahyudi,0,2025-07-06T06:24:58Z
@SenseiArguzz,Birahi ama balok,0,2025-07-06T06:02:22Z
@DarleloDarlelo,oji wahyudi ingin menikah dengan karakter Roblox 😂😂😂😂😂😂😂,3,2025-07-06T05:38:31Z
@zhym_sweetluvv,meanwhile gw cwe ava cwo🤭🤭,1,2025-07-06T05:31:51Z
@SUPERBANDBIKINIBOTTOM,Apalah cik birahi sama balok,0,2025-07-06T05:03:49Z
@keonggondang989,"Lah jaman gw dulu sama aja, bedanya low poly 🤣🤣",0,2025-07-06T04:50:06Z
@nazxwa,Pas aku liat akun tik tok nya kok Dikit🗿,0,2025-07-06T04:00:29Z
@AkiraApgan,Wahyudi wahyudi😭,0,2025-07-06T03:26:36Z
@feirx038,diaitusus di roblox lu juga gw ada tau,0,2025-07-06T01:33:22Z
@feirx038,😠😠😠😠😠😠dia itu sus di roblox lu,0,2025-07-06T01:32:08Z
@feirx038,sus!!😠,0,2025-07-06T01:30:53Z
@tuyulhijau123,Roblox viral karena gag,0,2025-07-06T01:21:00Z
@shovartube,"Ah normal itumah, temen gw gambar muka di bola barunya malah dibuat jadi istri🗿🗿",0,2025-07-06T00:37:50Z
@Dsariqullahhh123.,nanggung banget mending lu liat hentai.,0,2025-07-05T21:43:11Z
@AqHR-t4d,amboiiii sodapnyoooooo,0,2025-07-05T17:29:36Z
@HaruCh007,"Ga ngapa ngapain, ga Nyenggol malah makin rame 💀",1,2025-07-05T16:26:38Z
@Agus-gz1zr,Mereka ngak terselamatkan 😂😂😂😂,0,2025-07-05T15:30:51Z
@pgwpills,"Jadi males main roblox dah, jadi game cari pacar sama caboel 👺",0,2025-07-05T15:24:28Z
@GdeTeo,Biasa goblok,0,2025-07-05T14:46:17Z
@Lamka_chanel,oji Wahyudi mana tahan,0,2025-07-05T14:23:49Z
@Samurai-Vvvv,Orang gila mana yang birahi ama Lego anjg,0,2025-07-05T13:04:34Z
@KingAbhin,Antum birahi😂,1,2025-07-05T12:47:05Z
@NugiAswanaska,Birahi sama Avatar Alin🗿,0,2025-07-05T12:28:30Z
@BakulsembakoSugih,Gw gk pernha nonton chanel dia dan gw gk terpengaruh karena dia dan gw masuk roblox tapi karena kelihatan seru,0,2025-07-05T11:47:30Z
@ibnu374,anjir gw gak bisa berkata kata,0,2025-07-05T11:41:17Z
@jimmyaditiya8279,Wkwk bocah banyakan colay ya gtu,0,2025-07-05T11:36:34Z
@Arya-z8o7x,Menurut gua mah si wahyudi yang salah si alin mah cuman berkreasi,1,2025-07-05T11:30:33Z
@RafliGM,Itu udah gak normal bg itu udah ganguan jiwa,0,2025-07-05T11:09:01Z
@S_Memer89,Fomo dasar orang orang menyedihkan ha punya pasangan,0,2025-07-05T10:51:52Z
@RealmeC11-vo2gu,Jir ada yang mau birahi sama balok kalo gw mah lebih baik Mabar blood strike nice 👍,0,2025-07-05T10:29:36Z
@SeptianTian-j7d,Roblox sekarang pada gak seru terus Sus lagi,0,2025-07-05T08:34:05Z
@RayaNurMubarok,HELL NAHH aneh aneh aja 😅,1,2025-07-05T08:18:45Z
@nqtsuuuo5567,"Klo mau ava ky gini mending amin zepeto aja, roblok gim buat bocil jir",0,2025-07-05T08:04:40Z
@stefanuspenes5555,"Player report: lihat itu ada yg sus 

Roblox: ha itu bukan urusan ku",1,2025-07-05T07:34:17Z
@ARROYAYAN,"Yang di tutup pake warna hijau tuh Sus sam ngetod 🗿🗿🗿🗿🗿🗿
🗿🗿🗿🗿",0,2025-07-05T07:32:43Z
@NotPostAnymore,"Char On average KU
Helm  F1 2022
baju Default Free
kalung 24K Gold dari event sama kacamata
celana Default Free :V HEHE",0,2025-07-05T07:05:40Z
@cathrinechandranadi10,Salah yang benar dari grow a garden,0,2025-07-05T07:01:26Z
@ArdanArdan-t1m,Bro gw ga sus,0,2025-07-05T06:57:32Z
@リフ期です,User redit yg suka sama mobil : ah normal ini,0,2025-07-05T06:36:10Z
@Zyland_taufik,Roblox sebenarnya game ramah cuman dimainkan sama bocah 18+ yg mikirnya udah kgk waras ya WAJAR AJA IQ INDO -10,0,2025-07-05T06:35:48Z
@Pabiangg,Game roblox dah rusak tae banyknya r63 r36 malas kalau gini main lagi,0,2025-07-05T06:29:52Z
@nepaajj,"GA NORMAL ,SAMA KAYAK YG CINTA SAMA KARTUN",0,2025-07-05T06:16:28Z
@woilah-rek,Sebenarnya orang yang sange sama karakter fiksi termasuk anime atau karakter game itu udh gila,0,2025-07-05T06:10:15Z
@HAYPER_GAMERZFREEFIRE,oji oji,0,2025-07-05T06:05:06Z
@Razornanimation,bocah ngawor,0,2025-07-05T05:19:28Z
@RobbilAlfiansyah,Gue suka gila di roblox bang gak kayak itu tambah gue suka jahil,1,2025-07-05T04:49:35Z
@thepeopleplaygroundonly13a28,Mending pakai r6 aja sih💀,0,2025-07-05T04:46:37Z
@king1reng,Aneh si ya banyak orang yg sange sama kotak kotak (karakter Roblox),0,2025-07-05T04:46:33Z
@bintangsurya,BIASANYA BAHS ANIME KALI INI BAHAS GAME,0,2025-07-05T04:22:27Z
@fazrul_yt9032,roblox sudah bukan roblox yang kukenal lagi🗿,0,2025-07-05T04:11:29Z
@IlhamMC001,Aneh jir masa suka sama character🗿🗿,0,2025-07-05T04:08:16Z
@Reflan-d7o,Definisi dari puncak fans roblox 😂,0,2025-07-05T03:41:38Z
@darrellhendraarmy152,"Tapi inget,biasanya yang ava cewe cantik gitu ada yabg cewe beneran ada yang cowo,jai biasanya kalo masang tiktok gitu cowo nyamar,kaya temen gw dia cowo tapi pasang swnya ava cewe cakep dan itu avatar roblox dia sendiri dawg🗿",0,2025-07-05T03:27:19Z
@SPRINGTRAP-55,"Anda birahi sama kotak 
Cepat lah tobat oi jangan coli terus",0,2025-07-05T03:21:12Z
@ArsyadMhd,Aneh + gaguan jiwa anjir suka kok sama paha kotak aduh dasar bocah ingat Roblox bukan untuk anak anak 14 kebawah,0,2025-07-05T03:00:55Z
@khatrinanabilah4704,salah karna rame grow a garden,0,2025-07-05T02:52:52Z
@ARKNZ_FVRTZ,"Gw player roblox 4 tahun cuma main map horror dan battlefied terusan, walaupun terkadang menahan nafsu dari karakter kotak imut, unyu, dan s**si itu 🗿",1,2025-07-05T02:50:24Z
@AfkarElfadla,Najis cok mending waifu,0,2025-07-05T02:05:17Z
@fanxforsaken,Untungnya gw main forsaken😂😂,0,2025-07-05T01:38:58Z
@robloxmeme_edit,Rata rata karakter kayak gitu boti coy🤚😂✋,0,2025-07-05T01:30:28Z
@Ryuu888gfx,Oji keknya udh kena lcd nya😂,0,2025-07-05T01:25:07Z
@Realmepro3jetispateb0NSebelas,Oji Wahyudi panas panas sange ey,0,2025-07-05T01:23:34Z
@getz8090,Alin ketauan mamahnya 🤭,1,2025-07-05T01:19:43Z
@alfatharachannel9805,"Orang gila dia co , dia mau ya itulah",0,2025-07-05T01:07:11Z
@IndoSumatraOfficial,Alamak Roblox sekarang tidak seperti dulu lagi ☕💀,0,2025-07-05T01:04:11Z
@ahtong6567,Gw palingan suka game tembak tembakan fi roblox,1,2025-07-05T00:48:51Z
@ZitnySebastiancahyano,Gw masih tetap setia dengan wot blitz,0,2025-07-04T23:11:20Z
@LordYuii,Ganggu jiwa sih yg bener kalo suka Ama ava nya 🗿,0,2025-07-04T22:50:56Z
@AhmadaliRusdan,alah bocil itu,0,2025-07-04T22:39:00Z
@Wibucihuy,"Ya ya ... YA ITU NAMANYA GILA ANJIR, bayangin kalo lu suka sama karakter game bullsh** kyk gitu wah gila lu anjir, berotak San**  lu
Bayangin orang tua lu yang denger lu san** sama karakter game langsung ancur harapan ortu bejir😂😂😂
Sudah lah bang mari kita kejalan yang benar JANGAN SAMPE SAN** SAMA KARAKTER GAME (btw ini buat yang San** sama karakter Roblox)",0,2025-07-04T22:07:32Z
@Ashuraa69,Orang gila💀,0,2025-07-04T21:09:47Z
@REGISKUYBOY,Gw main roblox buat blox fruit 😅,0,2025-07-04T19:39:40Z
@GeorickGrande,Gara-gara grow a garden roblox jadi viral bang! Gua udah jadi warga grow a garden,1,2025-07-04T18:13:10Z
@abilzz-1306,Gila ada yang birahi sama ava rblx 😹😹,0,2025-07-04T17:53:56Z
@CelloAzka-u2w,Sus bang,0,2025-07-04T17:38:21Z
@ArVittz_CH,ABSOLUTE FREAKY✋🗿🤚,1,2025-07-04T17:28:19Z
@gilbertosuhandi4312,"Daripada peduliin soal skin doang, mending main GAG aj😊",0,2025-07-04T16:58:54Z
@ayunda-5,Menurutku tidak pantas untuk menjadi konten Roblox karena itu haram kitab suci aja tidak boleh melihat itu,1,2025-07-04T16:53:37Z
@mazkasyawal,keren? dongo,0,2025-07-04T16:06:55Z
@ahmadfaizals1099,"Vann: ""Gw mah netral aja, cuma s*nge dkit sama char cwe roblox kalo gk gtu s*nge sama cwe anime""",0,2025-07-04T15:53:01Z
@LigggSyamm,Bahan coli,0,2025-07-04T15:50:16Z
@AkmalnonoNono,"Coba cek,akunya Alin udah ilang entah kemana😂",2,2025-07-04T15:18:09Z
@Ridho-saja15,Stresss,1,2025-07-04T14:58:48Z
@zofaraziz4699,Perasaan yg bikin rame gara gara game grow a garden🗿,0,2025-07-04T14:39:26Z
@Mr_sanzz13,"Roblox rame bukan karena dia
tapi karena grow a garden 😂",0,2025-07-04T14:13:05Z
@MIKASA_edit-u1,punya ku aja Mikasa jadi yaaaa gk yerbuka lah,0,2025-07-04T13:58:12Z
@isaayubi781,Bg lusa gw mondok dadah bg🥲,0,2025-07-04T13:56:53Z
@joybastian8578,Wkwkwk gua main dari 2019 bukan karna sus tapi karna seru😂,0,2025-07-04T13:27:32Z
@真実のない人生,G,0,2025-07-04T13:13:57Z
@Eaglewingers,Bukannya emang ud rame ya bang,0,2025-07-04T12:38:47Z
@seanyuki-p3f,😂😂😂😂😂😂wkwkwkwkwkw,0,2025-07-04T12:14:48Z
@bikomang,Cringe itu mending bacon sih,0,2025-07-04T12:10:17Z
@erwinwijaya2945,Nafsu kok ama kotak kubus...😮...dulu roblox kotak2 soalnya😅,0,2025-07-04T12:09:17Z
@icmalgaming,Emang udah gak waras para gen alpha :v,0,2025-07-04T12:01:55Z
@aryadanu4432,"""karakter Roblox bikin Aceng""yaampun😂",0,2025-07-04T11:57:54Z
@noah_socool198,Dulu robux gratis tapi sekarang bayar,2,2025-07-04T11:52:43Z
@KhoirulAnam-z6y,Hell nah,0,2025-07-04T11:45:48Z
@anomalywibu,Orang lain bikin char Roblox yg lain keren bagus atau jan jan sus lah gw malah bikin ava jawa njir 🗿,1,2025-07-04T11:45:18Z
@speednaikmoto,Mending jadi petani 😂,0,2025-07-04T11:14:56Z
@Muhammad.Rosada,Normal untuk orang bodoh,0,2025-07-04T11:14:13Z
@Save_and_free_palestine,"Versi fan artnya masih mending njir kek anime anime gitu, tapi kalau versi game kok bisa ada yang sange?",0,2025-07-04T11:00:25Z
@daxlopez5651,Dia benar benar gila,0,2025-07-04T10:59:08Z
@Mungkin123,Oji Wahyudi 🤭,0,2025-07-04T10:48:54Z
@DJVNX08,Oji wahyudi🥀,0,2025-07-04T10:25:20Z
@justzamxx,Oji wahyudi 💀,0,2025-07-04T10:14:13Z
@jeraldhotmartua6975,Aku benci anime satu itu bro 😡😡🤬🤬😱,0,2025-07-04T06:43:13Z
@syanz.,Orang gila,0,2025-07-04T03:54:07Z
@Hi_hi-us,Udah gk wajar birahi sama character roblox💀💀,0,2025-07-04T03:30:07Z
@DENZZ1102-h8o,Udh gk normal😂,0,2025-07-04T03:19:30Z
@EvosRrqGalang1234,"Harus di ban,nanti anak anak liat",0,2025-07-04T02:50:20Z
@RKzaks_1,Gua main roblok gk cinta sama char roblox kalo gua cinta sama char roblox sinting gua. Gua pengen kaya di grow a garden bukan cinta sama char roblox,0,2025-07-04T01:41:49Z
@rayyanrafif4347,mana tahan 😋,0,2025-07-04T01:36:41Z
@white-rabbitOfficial,𒉭,0,2025-07-04T00:14:40Z
@OttoVonspielberg,Oji wahyudi 😂😂😂,0,2025-07-03T18:08:03Z
@SmoolEi,Ad versi bok- nya ga? Brp gb kalok ada?,0,2025-07-03T15:57:27Z
@askagibran6520,Roblox sekarang bukan geme untuk anak anak,0,2025-07-03T12:28:24Z
@NoobCoc-k7p,Pantes sekarang kalo main ada batas usia sekarang dulu kan ga ada🗿,0,2025-07-03T11:26:39Z
@abidzaralfatih-u3f,Main Roblox si boleh tapi jangan birahi juga,0,2025-07-03T11:17:43Z
@abidzaralfatih-u3f,Gue pengen ketawa anjir,0,2025-07-03T11:17:27Z
@cadalchan,"Biasa aja ah Avatar nya 
Mending punya pacar Solehah, rajin,penurut,bisa masak,dan yg paling penting bisa main ml sama gw 😂",0,2025-07-03T10:40:27Z
@dandadandi,Player roblox sekarang udah melenceng,1,2025-07-03T09:20:22Z
@ismailiwankalashnikov710,"Aduhai ini game isinya bocil bocil loh
Gw pernah ketemu player Avatar kayak gitu umur nya 10 tahun jir
Mana pacaran sama orang random💀",0,2025-07-03T06:05:53Z
@Beneddetta-b9n9w,wanjr di bahas dong😭,0,2025-07-03T05:00:23Z
@NoisiV29,Gara gara grow a garden ga sih,1,2025-07-03T04:49:36Z
@inoymnka,kesukaan oji wahyudi😹😹,0,2025-07-03T04:17:12Z
